Phase,Group,Sub-Group,Checklist Item,Importance,Weight (Group Total = 100),Mandatory,Implemented? (Yes / No / NA),Comments,Evidence
Development,Code Quality - Errors & Reliability,Reliability,No bitwise operators for basic arithmetic; no manual loop unrolling; no caching of trivially computed values; micro-optimization patterns flagged,Medium,6,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Abstraction layers <=3 deep; no single-use wrapper classes; factory/strategy patterns have >=2 implementations,Medium,6,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Shared utilities extracted,Medium,6,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,No duplicated logic across files,Medium,18,Yes,,,
Development,Code Quality - Errors & Reliability,Reliability,Duplicate code percentage within threshold,High,10,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Component import frequency analyzed: components imported in >=2 files counted as reused; reuse ratio (reused/total components) >=40%; duplicate JSX/template patterns >10 lines across files flagged as extraction candidates; single-use wrapper components with no added logic flagged,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No hardcoded environment values,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Avoid circular dependencies,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Explicit dependencies,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Constants centralized,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Config-driven behavior,High,8,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Abstraction layers <=3 deep; no single-use wrapper classes; factory/strategy patterns have >=2 implementations,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Files have single responsibility and clear module boundaries; refactoring-only changes detectable by file scope isolation,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Shared utilities extracted,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Average file size under 500 LOC; functions under 40 lines; module boundaries well-defined,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Predictable execution flow,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No stale TODO/FIXME comments; no comments referencing symbols that do not exist in scope; no commented-out code blocks,Medium,6,Yes,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Comments restating adjacent code flagged via AST comparison (e.g. '// increment counter' before counter++); commented-out code blocks >3 lines flagged; TODO/FIXME without issue-tracker reference (JIRA/GitHub #number) flagged; JSDoc @param/@return types match actual function signature; comment-to-code ratio between 5-30%,Medium,20,Yes,,,
Development,HTML Metadata & Validation,Metadata,HTML5 Doctype (<!DOCTYPE html>) present as first line of all HTML pages; no legacy XHTML or HTML4 doctypes; doctype declaration is case-insensitive match for <!DOCTYPE html>,Critical,12,Yes,,,
Development,HTML Metadata & Validation,Metadata,Charset meta tag (<meta charset="UTF-8">) declared in <head> before any content-producing elements; charset declaration appears within first 1024 bytes of document,Critical,12,Yes,,,
Development,HTML Metadata & Validation,Metadata,Meta description tag present on all pages; content between 50-160 characters; not default placeholder text (e.g. 'description'/'website'/'page'); unique across crawled pages; contains keyword overlap with page <h1>,High,8,Yes,,,
Development,HTML Metadata & Validation,Metadata,Favicon (<link rel="icon">) present in <head> and referenced file returns HTTP 200; Apple touch icon (<link rel="apple-touch-icon">) present where applicable; favicon file is valid ICO/PNG/SVG format,Medium,6,No,,,
Development,HTML Metadata & Validation,Metadata,Canonical URL (<link rel="canonical">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page; self-referencing canonical on non-duplicate pages; canonical URL returns HTTP 200,High,8,Yes,,,
Development,HTML Metadata & Validation,Metadata,Language attribute (lang) on <html> element is a valid BCP 47 tag matching page content language; lang attribute not empty or set to 'undefined'; lang value consistent with Content-Language HTTP header when present,High,8,Yes,,,
Development,HTML Metadata & Validation,Metadata,Direction attribute (dir) specified on <html> or relevant container elements for RTL language pages; value is 'ltr' or 'rtl' matching content language direction; dir attribute present when lang indicates RTL script,Medium,6,No,,,
Development,HTML Metadata & Validation,Metadata,Alternate language annotations (hreflang) present for multilingual sites via <link rel="alternate" hreflang="...">; each hreflang is valid BCP 47 tag; reciprocal hreflang references verified across variants; x-default fallback present,Medium,6,No,,,
Development,HTML Metadata & Validation,Metadata,CSS <link> and <style> tags appear before <script> tags in <head> section; render-critical CSS not blocked by preceding synchronous script tags; no JavaScript-only <script> inserted before stylesheet <link>,High,8,Yes,,,
Development,HTML Semantics & Structure,Structure,External links with target="_blank" include rel="noopener noreferrer" to prevent tab nabbing and referrer leakage; automated scan verifies all anchor elements with target="_blank" have appropriate rel attribute,High,8,Yes,,,
Development,HTML Metadata & Validation,Validation,Custom error pages for 404 and 5xx HTTP responses exist and return correct status codes; error pages include site branding and navigation back to homepage; default server error pages not served to users,High,8,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Webfont files use WOFF2 as primary format with WOFF fallback; no TTF/OTF/EOT served as primary web font format in production; @font-face declarations include format() hints matching served file types,High,8,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Individual webfont file sizes do not exceed 100KB per variant (regular/bold/italic); total webfont payload across all families under 300KB; font subsetting applied where full Unicode character set not required,High,8,Yes,,,
Performance,Performance - Asset & Delivery,Assets,CSS files minified in production output; no multi-line whitespace or developer comments in served CSS files; minified file size at least 20% smaller than source; source CSS remains readable in repository,High,8,Yes,,,
Performance,Performance - Asset & Delivery,Assets,JavaScript files minified in production output; no multi-line whitespace or developer comments in served JS files; minified file size at least 20% smaller than source; source JS remains readable in repository,High,8,Yes,,,
Development,CSS Architecture & Tokens,Maintainability,CSS print stylesheet (@media print) defined; print styles hide non-essential UI elements (navigation/footer/sidebar/ads); print-specific font sizes and page margins configured; no background images printed by default,Medium,5,No,,,
Development,CSS Architecture & Tokens,Maintainability,CSS reset or normalize library (reset.css/normalize.css/modern-normalize) imported in global stylesheet; reset styles loaded before component styles in cascade order; no conflicting reset declarations,Medium,5,No,,,
Development,CSS Architecture & Tokens,Design Tokens,Font-family declarations defined at :root or body level using CSS custom properties; component-level stylesheets reference font-family tokens instead of hardcoding font names; no inline font-family declarations in component markup,High,8,Yes,,,
Development,HTML Media & Data,Images,Content <img> elements have explicit width and height HTML attributes or CSS aspect-ratio set to reserve layout space and prevent CLS; hero and banner images always include intrinsic dimensions; decorative images excluded from this check,High,8,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,JSX or template render return block under 50 lines per component; components with render output exceeding 50 lines flagged for decomposition into smaller sub-components,Medium,6,No,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused npm/yarn packages in package.json; depcheck or npm-check analysis confirms all listed dependencies are imported in source code; devDependencies verified against build/test scripts; orphaned packages flagged for removal,High,8,Yes,,,
Development,JavaScript State & Reliability,State,No setState/dispatch/state-mutation calls inside for/while/do-while/forEach/map/reduce loops; state updates batched or moved outside iteration blocks; flagged via AST pattern detection on state management function calls within loop bodies,High,8,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused component props passed from parent to child (props defined in parent JSX/template but never read in child component); unused prop detection via static analysis or TypeScript strict mode; spread props (...rest) excluded from check,Medium,6,No,,,
Process & Governance,Version Control & Repository,VCS,Git repository initialized with .git directory present; remote origin configured and reachable; repository is not in detached HEAD state,Critical,12,Yes,,,
Process & Governance,Version Control & Repository,VCS,.gitignore file present and includes standard exclusions (node_modules; dist/build output; .env files; OS files; IDE config); no build artifacts or dependency folders committed to repository,Critical,12,Yes,,,
Process & Governance,Version Control & Repository,VCS,Package lock file (package-lock.json or yarn.lock) committed to repository; lock file version matches package.json dependencies; no conflicting lock files (both npm and yarn) present,High,8,Yes,,,
Process & Governance,Version Control & Repository,VCS,.editorconfig file present with consistent settings for indent style; indent size; end-of-line; charset; and trim trailing whitespace across file types,High,8,Yes,,,
Process & Governance,Version Control & Repository,VCS,CODEOWNERS file present (GitHub) or equivalent merge-request approval rules configured; ownership covers all critical directories (src; config; CI files),High,8,Yes,,,
Process & Governance,Version Control & Repository,Branching,Branch naming follows defined convention pattern (e.g. feature/*; bugfix/*; hotfix/*; release/*); no branches with generic names (test; temp; fix; branch1); main/master branch present as default,High,8,Yes,,,
Process & Governance,Version Control & Repository,Branching,No direct commits to main/master branch detected (all commits arrive via merge/PR); branch protection rules verifiable via repository API (GitHub/GitLab/Bitbucket),Critical,12,Yes,,,
Process & Governance,Version Control & Repository,Branching,Stale branches (no commits in >30 days and not merged) identified and flagged for cleanup; total branch count within manageable threshold (<50 active branches),Medium,6,No,,,
Process & Governance,PR & Code Review,Approvals,Pull request template file (.github/PULL_REQUEST_TEMPLATE.md or equivalent) exists with sections for description; testing; and checklist,High,8,Yes,,,
Process & Governance,PR & Code Review,Approvals,Branch protection requires minimum number of approving reviews (>=1 for standard repos; >=2 for critical projects) before merge; verified via repository settings API,Critical,12,Yes,,,
Process & Governance,PR & Code Review,Approvals,Branch protection enforces status checks (CI pipeline; linting; tests) must pass before merge is allowed; no bypass without admin override,Critical,12,Yes,,,
Process & Governance,PR & Code Review,Approvals,Merge strategy configured (squash-merge or rebase preferred); merge commits follow conventional commit format (feat/fix/chore/docs prefix); commit messages >10 characters,High,8,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI/CD configuration file present (.github/workflows/*.yml; .gitlab-ci.yml; Jenkinsfile; bitbucket-pipelines.yml; or equivalent); pipeline runs on pull requests and main branch pushes,Critical,12,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes lint step (ESLint/Stylelint execution); pipeline fails on lint errors; lint configuration files referenced in CI match repository config,Critical,12,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes unit test execution step; test runner configured (Jest/Vitest/Mocha/Karma); pipeline fails on test failures; test coverage report generated,Critical,12,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes build/compile step that validates production build succeeds without errors; build artifacts generated and verifiable,High,8,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes accessibility audit step (axe-core; pa11y; or Lighthouse accessibility) that fails on critical/serious violations,High,8,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes security scanning step (npm audit; Snyk; or Dependabot) that flags known vulnerabilities in dependencies,High,8,Yes,,,
Process & Governance,CI/CD Pipeline,Pipeline,Automated deployment pipeline configured for staging/production environments; deployment requires CI pipeline pass; no manual deployment scripts as sole mechanism,High,8,Yes,,,
Process & Governance,Testing & Quality Gates,Testing,Unit test files exist (*.test.js; *.spec.ts or equivalent pattern); test file count proportional to source file count (ratio >=0.3); test files not empty,Critical,12,Yes,,,
Process & Governance,Testing & Quality Gates,Testing,Test coverage configuration present (jest.config coverage thresholds; nyc/.nycrc; or equivalent); minimum coverage threshold defined (>=60% line coverage for critical paths),High,8,Yes,,,
Process & Governance,Testing & Quality Gates,Testing,E2E or integration test files exist (Cypress; Playwright; or Selenium configs detected); test scenarios cover critical user flows,High,8,Yes,,,
Process & Governance,Testing & Quality Gates,Quality,Prettier or equivalent code formatter configuration file present (.prettierrc; .prettierrc.json); format-on-save or pre-commit format hook configured,High,8,Yes,,,
Process & Governance,Testing & Quality Gates,Quality,Pre-commit hooks configured (husky; lint-staged; or lefthook); hooks run linting and formatting before each commit; .husky directory or equivalent present,High,8,Yes,,,
Process & Governance,Testing & Quality Gates,Quality,TypeScript strict mode enabled (strict: true in tsconfig.json) or equivalent type-checking configuration; no 'any' type usage exceeding threshold (max 5% of type annotations),High,8,Yes,,,
Process & Governance,Project Configuration,Config,Environment variable template (.env.example or .env.template) present and committed; documents all required environment variables with descriptions; actual .env files excluded from repository,High,8,Yes,,,
Process & Governance,Project Configuration,Config,README.md present in repository root with project setup instructions; includes prerequisites; install steps; build commands; and run commands; README not a default scaffold placeholder,High,8,Yes,,,
Process & Governance,Project Configuration,Config,LICENSE file present in repository root; license type appropriate for project (commercial/open-source),Medium,6,No,,,
Process & Governance,Project Configuration,Config,Node.js version specified via .nvmrc; .node-version; or engines field in package.json; version is LTS or current stable; team members using consistent runtime version,High,8,Yes,,,
Process & Governance,Project Configuration,Config,Docker configuration (Dockerfile; docker-compose.yml) present where containerization is required; Dockerfile follows multi-stage build best practices; no secrets hardcoded in Docker files,Medium,6,No,,,
Process & Governance,Project Configuration,Config,CHANGELOG.md or automated release notes (semantic-release; standard-version; changesets) configured; version history traceable from repository,Medium,6,No,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated placeholder comments detected (e.g. '// TODO: implement this'; '// Add your code here'; '// This function does X' without actual logic); boilerplate comment patterns from code-generation tools flagged via regex,High,8,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hallucinated imports (import statements referencing non-existent packages or modules not installed in node_modules); all import paths resolve to actual files or installed dependencies,Critical,12,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated dead utility functions (exported functions with zero import references across the codebase); orphaned helper files with no consumers flagged,High,8,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hardcoded mock data or example values left in production code (e.g. 'John Doe'; 'test@example.com'; 'Lorem ipsum'; '123 Main St'; placeholder UUIDs); regex pattern scan across source files,High,8,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No excessive code comments with AI-characteristic patterns (step-by-step narration; 'This line does X' on every line; comment-to-code ratio >50% in non-config files); over-commented files flagged,Medium,6,No,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No inconsistent coding patterns within the same file suggesting mixed AI-generation sessions (e.g. switching between arrow functions and function declarations; mixed async patterns; inconsistent error handling strategies within same module),Medium,6,No,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-generated code containing hardcoded API keys; tokens; passwords; or credentials in string literals; secret patterns (API_KEY=; Bearer ; sk-; ghp_; AKIA) scanned across all source files,Critical,12,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-suggested vulnerable patterns: no eval() with dynamic strings; no innerHTML with user input; no SQL/NoSQL string concatenation; no unsanitized URL construction; patterns flagged via static analysis,Critical,12,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Dependencies,AI-suggested npm packages verified as legitimate (package exists on registry; not typosquatted; has >100 weekly downloads; published >6 months ago; maintainer is known); suspicious packages flagged,Critical,12,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Dependencies,No deprecated or unmaintained packages suggested by AI tools (last publish >2 years ago; deprecated flag on npm; archived GitHub repo); dependency health verified via registry metadata,High,8,Yes,,,
Process & Governance,GenAI Tools & Code Quality,Licensing,AI-generated code does not introduce copyleft license obligations; no verbatim code blocks matching GPL/AGPL-licensed open-source projects detected via code similarity scanning,High,8,Yes,,,
